name,value,unit,source,derivation
delta_por_no_schools_total_content_cost_abs,0.000000,USD,variants.csv,the absolute value of that difference
delta_por_content_frozen_terminal_cash_mean,8121027.371774,USD,variants.csv,terminal_cash_mean for por_content_frozen less terminal_cash_mean for por
delta_por_content_frozen_terminal_cash_p50,7318367.411342,USD,variants.csv,terminal_cash_p50 for por_content_frozen less terminal_cash_p50 for por
delta_por_content_frozen_terminal_cash_p50_abs,7318367.411342,USD,variants.csv,the absolute value of that median difference
delta_por_content_frozen_peak_funding_p80,-11161885.694505,USD,variants.csv,peak_funding_p80 for por_content_frozen less peak_funding_p80 for por
delta_por_content_frozen_peak_funding_p80_abs,11161885.694505,USD,variants.csv,the absolute value of that difference
delta_por_content_frozen_t_stat,141.839289,ratio,variants.csv,the absolute terminal-cash delta for por_content_frozen divided by the paired standard error of that delta
delta_por_content_frozen_sign_agrees_mean_and_median,1.000000,boolean,variants.csv,"1 when the mean delta and the median delta for por_content_frozen have the same sign, 0 when they disagree"
delta_por_content_frozen_terminal_cash_abs,8121027.371774,USD,variants.csv,the absolute value of that difference; the direction is in the sign of delta_por_content_frozen_terminal_cash_mean
delta_por_content_frozen_total_content_cost_mean,-7444792.289644,USD,variants.csv,total_content_cost_mean for por_content_frozen less the same for por
delta_por_content_frozen_total_content_cost_abs,7444792.289644,USD,variants.csv,the absolute value of that difference
delta_gtm_minimum_terminal_cash_mean,6817628.839178,USD,variants.csv,terminal_cash_mean for gtm_minimum less terminal_cash_mean for por
delta_gtm_minimum_terminal_cash_p50,14667532.909756,USD,variants.csv,terminal_cash_p50 for gtm_minimum less terminal_cash_p50 for por
delta_gtm_minimum_terminal_cash_p50_abs,14667532.909756,USD,variants.csv,the absolute value of that median difference
delta_gtm_minimum_peak_funding_p80,-21373030.228373,USD,variants.csv,peak_funding_p80 for gtm_minimum less peak_funding_p80 for por
delta_gtm_minimum_peak_funding_p80_abs,21373030.228373,USD,variants.csv,the absolute value of that difference
delta_gtm_minimum_t_stat,13.713989,ratio,variants.csv,the absolute terminal-cash delta for gtm_minimum divided by the paired standard error of that delta
delta_gtm_minimum_sign_agrees_mean_and_median,1.000000,boolean,variants.csv,"1 when the mean delta and the median delta for gtm_minimum have the same sign, 0 when they disagree"
delta_gtm_minimum_terminal_cash_abs,6817628.839178,USD,variants.csv,the absolute value of that difference; the direction is in the sign of delta_gtm_minimum_terminal_cash_mean
delta_gtm_minimum_total_content_cost_mean,-12814519.774090,USD,variants.csv,total_content_cost_mean for gtm_minimum less the same for por
delta_gtm_minimum_total_content_cost_abs,12814519.774090,USD,variants.csv,the absolute value of that difference
delta_por_creator_fees_terminal_cash_mean,-2146403.634916,USD,variants.csv,terminal_cash_mean for por_creator_fees less terminal_cash_mean for por
delta_por_creator_fees_terminal_cash_p50,-1340369.540833,USD,variants.csv,terminal_cash_p50 for por_creator_fees less terminal_cash_p50 for por
delta_por_creator_fees_terminal_cash_p50_abs,1340369.540833,USD,variants.csv,the absolute value of that median difference
delta_por_creator_fees_peak_funding_p80,1368371.475310,USD,variants.csv,peak_funding_p80 for por_creator_fees less peak_funding_p80 for por
delta_por_creator_fees_peak_funding_p80_abs,1368371.475310,USD,variants.csv,the absolute value of that difference
delta_por_creator_fees_t_stat,52.879657,ratio,variants.csv,the absolute terminal-cash delta for por_creator_fees divided by the paired standard error of that delta
delta_por_creator_fees_sign_agrees_mean_and_median,1.000000,boolean,variants.csv,"1 when the mean delta and the median delta for por_creator_fees have the same sign, 0 when they disagree"
delta_por_creator_fees_terminal_cash_abs,2146403.634916,USD,variants.csv,the absolute value of that difference; the direction is in the sign of delta_por_creator_fees_terminal_cash_mean
delta_por_creator_fees_total_content_cost_mean,0.000000,USD,variants.csv,total_content_cost_mean for por_creator_fees less the same for por
delta_por_creator_fees_total_content_cost_abs,0.000000,USD,variants.csv,the absolute value of that difference
delta_por_onshore_half_terminal_cash_mean,-4198612.883416,USD,variants.csv,terminal_cash_mean for por_onshore_half less terminal_cash_mean for por
delta_por_onshore_half_terminal_cash_p50,-3407370.773710,USD,variants.csv,terminal_cash_p50 for por_onshore_half less terminal_cash_p50 for por
delta_por_onshore_half_terminal_cash_p50_abs,3407370.773710,USD,variants.csv,the absolute value of that median difference
delta_por_onshore_half_peak_funding_p80,3537894.657240,USD,variants.csv,peak_funding_p80 for por_onshore_half less peak_funding_p80 for por
delta_por_onshore_half_peak_funding_p80_abs,3537894.657240,USD,variants.csv,the absolute value of that difference
delta_por_onshore_half_t_stat,127.832393,ratio,variants.csv,the absolute terminal-cash delta for por_onshore_half divided by the paired standard error of that delta
delta_por_onshore_half_sign_agrees_mean_and_median,1.000000,boolean,variants.csv,"1 when the mean delta and the median delta for por_onshore_half have the same sign, 0 when they disagree"
delta_por_onshore_half_terminal_cash_abs,4198612.883416,USD,variants.csv,the absolute value of that difference; the direction is in the sign of delta_por_onshore_half_terminal_cash_mean
delta_por_onshore_half_total_content_cost_mean,0.000000,USD,variants.csv,total_content_cost_mean for por_onshore_half less the same for por
delta_por_onshore_half_total_content_cost_abs,0.000000,USD,variants.csv,the absolute value of that difference
delta_por_onshore_all_terminal_cash_mean,-8397225.766833,USD,variants.csv,terminal_cash_mean for por_onshore_all less terminal_cash_mean for por
delta_por_onshore_all_terminal_cash_p50,-6820591.491062,USD,variants.csv,terminal_cash_p50 for por_onshore_all less terminal_cash_p50 for por
delta_por_onshore_all_terminal_cash_p50_abs,6820591.491062,USD,variants.csv,the absolute value of that median difference
delta_por_onshore_all_peak_funding_p80,7300059.909726,USD,variants.csv,peak_funding_p80 for por_onshore_all less peak_funding_p80 for por
delta_por_onshore_all_peak_funding_p80_abs,7300059.909726,USD,variants.csv,the absolute value of that difference
delta_por_onshore_all_t_stat,127.832393,ratio,variants.csv,the absolute terminal-cash delta for por_onshore_all divided by the paired standard error of that delta
delta_por_onshore_all_sign_agrees_mean_and_median,1.000000,boolean,variants.csv,"1 when the mean delta and the median delta for por_onshore_all have the same sign, 0 when they disagree"
delta_por_onshore_all_terminal_cash_abs,8397225.766833,USD,variants.csv,the absolute value of that difference; the direction is in the sign of delta_por_onshore_all_terminal_cash_mean
delta_por_onshore_all_total_content_cost_mean,0.000000,USD,variants.csv,total_content_cost_mean for por_onshore_all less the same for por
delta_por_onshore_all_total_content_cost_abs,0.000000,USD,variants.csv,the absolute value of that difference
delta_por_residual_terminal_cash_mean,23591879.130035,USD,variants.csv,terminal_cash_mean for por_residual less terminal_cash_mean for por
delta_por_residual_terminal_cash_p50,6019440.154504,USD,variants.csv,terminal_cash_p50 for por_residual less terminal_cash_p50 for por
delta_por_residual_terminal_cash_p50_abs,6019440.154504,USD,variants.csv,the absolute value of that median difference
delta_por_residual_peak_funding_p80,-265454.530223,USD,variants.csv,peak_funding_p80 for por_residual less peak_funding_p80 for por
delta_por_residual_peak_funding_p80_abs,265454.530223,USD,variants.csv,the absolute value of that difference
delta_por_residual_t_stat,33.589181,ratio,variants.csv,the absolute terminal-cash delta for por_residual divided by the paired standard error of that delta
delta_por_residual_sign_agrees_mean_and_median,1.000000,boolean,variants.csv,"1 when the mean delta and the median delta for por_residual have the same sign, 0 when they disagree"
delta_por_residual_terminal_cash_abs,23591879.130035,USD,variants.csv,the absolute value of that difference; the direction is in the sign of delta_por_residual_terminal_cash_mean
delta_por_residual_total_content_cost_mean,0.000000,USD,variants.csv,total_content_cost_mean for por_residual less the same for por
delta_por_residual_total_content_cost_abs,0.000000,USD,variants.csv,the absolute value of that difference
delta_por_reacq_low_terminal_cash_mean,-3045286.457638,USD,variants.csv,terminal_cash_mean for por_reacq_low less terminal_cash_mean for por
delta_por_reacq_low_terminal_cash_p50,-68727.134136,USD,variants.csv,terminal_cash_p50 for por_reacq_low less terminal_cash_p50 for por
delta_por_reacq_low_terminal_cash_p50_abs,68727.134136,USD,variants.csv,the absolute value of that median difference
delta_por_reacq_low_peak_funding_p80,40260.059217,USD,variants.csv,peak_funding_p80 for por_reacq_low less peak_funding_p80 for por
delta_por_reacq_low_peak_funding_p80_abs,40260.059217,USD,variants.csv,the absolute value of that difference
delta_por_reacq_low_t_stat,18.113742,ratio,variants.csv,the absolute terminal-cash delta for por_reacq_low divided by the paired standard error of that delta
delta_por_reacq_low_sign_agrees_mean_and_median,1.000000,boolean,variants.csv,"1 when the mean delta and the median delta for por_reacq_low have the same sign, 0 when they disagree"
delta_por_reacq_low_terminal_cash_abs,3045286.457638,USD,variants.csv,the absolute value of that difference; the direction is in the sign of delta_por_reacq_low_terminal_cash_mean
delta_por_reacq_low_total_content_cost_mean,0.000000,USD,variants.csv,total_content_cost_mean for por_reacq_low less the same for por
delta_por_reacq_low_total_content_cost_abs,0.000000,USD,variants.csv,the absolute value of that difference
delta_por_reacq_high_terminal_cash_mean,4345477.133713,USD,variants.csv,terminal_cash_mean for por_reacq_high less terminal_cash_mean for por
delta_por_reacq_high_terminal_cash_p50,89890.051063,USD,variants.csv,terminal_cash_p50 for por_reacq_high less terminal_cash_p50 for por
delta_por_reacq_high_terminal_cash_p50_abs,89890.051063,USD,variants.csv,the absolute value of that median difference
delta_por_reacq_high_peak_funding_p80,-53624.105570,USD,variants.csv,peak_funding_p80 for por_reacq_high less peak_funding_p80 for por
delta_por_reacq_high_peak_funding_p80_abs,53624.105570,USD,variants.csv,the absolute value of that difference
delta_por_reacq_high_t_stat,15.955098,ratio,variants.csv,the absolute terminal-cash delta for por_reacq_high divided by the paired standard error of that delta
delta_por_reacq_high_sign_agrees_mean_and_median,1.000000,boolean,variants.csv,"1 when the mean delta and the median delta for por_reacq_high have the same sign, 0 when they disagree"
delta_por_reacq_high_terminal_cash_abs,4345477.133713,USD,variants.csv,the absolute value of that difference; the direction is in the sign of delta_por_reacq_high_terminal_cash_mean
delta_por_reacq_high_total_content_cost_mean,0.000000,USD,variants.csv,total_content_cost_mean for por_reacq_high less the same for por
delta_por_reacq_high_total_content_cost_abs,0.000000,USD,variants.csv,the absolute value of that difference
delta_por_anchor_tutoring_terminal_cash_mean,15465111.038797,USD,variants.csv,terminal_cash_mean for por_anchor_tutoring less terminal_cash_mean for por
delta_por_anchor_tutoring_terminal_cash_p50,3291386.097941,USD,variants.csv,terminal_cash_p50 for por_anchor_tutoring less terminal_cash_p50 for por
delta_por_anchor_tutoring_terminal_cash_p50_abs,3291386.097941,USD,variants.csv,the absolute value of that median difference
delta_por_anchor_tutoring_peak_funding_p80,-2492425.496404,USD,variants.csv,peak_funding_p80 for por_anchor_tutoring less peak_funding_p80 for por
delta_por_anchor_tutoring_peak_funding_p80_abs,2492425.496404,USD,variants.csv,the absolute value of that difference
delta_por_anchor_tutoring_t_stat,22.076960,ratio,variants.csv,the absolute terminal-cash delta for por_anchor_tutoring divided by the paired standard error of that delta
delta_por_anchor_tutoring_sign_agrees_mean_and_median,1.000000,boolean,variants.csv,"1 when the mean delta and the median delta for por_anchor_tutoring have the same sign, 0 when they disagree"
delta_por_anchor_tutoring_terminal_cash_abs,15465111.038797,USD,variants.csv,the absolute value of that difference; the direction is in the sign of delta_por_anchor_tutoring_terminal_cash_mean
delta_por_anchor_tutoring_total_content_cost_mean,0.000000,USD,variants.csv,total_content_cost_mean for por_anchor_tutoring less the same for por
delta_por_anchor_tutoring_total_content_cost_abs,0.000000,USD,variants.csv,the absolute value of that difference
delta_por_anchor_software_terminal_cash_mean,-15638332.376560,USD,variants.csv,terminal_cash_mean for por_anchor_software less terminal_cash_mean for por
delta_por_anchor_software_terminal_cash_p50,-2459108.756883,USD,variants.csv,terminal_cash_p50 for por_anchor_software less terminal_cash_p50 for por
delta_por_anchor_software_terminal_cash_p50_abs,2459108.756883,USD,variants.csv,the absolute value of that median difference
delta_por_anchor_software_peak_funding_p80,1973158.918045,USD,variants.csv,peak_funding_p80 for por_anchor_software less peak_funding_p80 for por
delta_por_anchor_software_peak_funding_p80_abs,1973158.918045,USD,variants.csv,the absolute value of that difference
delta_por_anchor_software_t_stat,25.867796,ratio,variants.csv,the absolute terminal-cash delta for por_anchor_software divided by the paired standard error of that delta
delta_por_anchor_software_sign_agrees_mean_and_median,1.000000,boolean,variants.csv,"1 when the mean delta and the median delta for por_anchor_software have the same sign, 0 when they disagree"
delta_por_anchor_software_terminal_cash_abs,15638332.376560,USD,variants.csv,the absolute value of that difference; the direction is in the sign of delta_por_anchor_software_terminal_cash_mean
delta_por_anchor_software_total_content_cost_mean,0.000000,USD,variants.csv,total_content_cost_mean for por_anchor_software less the same for por
delta_por_anchor_software_total_content_cost_abs,0.000000,USD,variants.csv,the absolute value of that difference
delta_por_launch_plus3_terminal_cash_mean,-961638.635436,USD,variants.csv,terminal_cash_mean for por_launch_plus3 less terminal_cash_mean for por
delta_por_launch_plus3_terminal_cash_p50,324079.690913,USD,variants.csv,terminal_cash_p50 for por_launch_plus3 less terminal_cash_p50 for por
delta_por_launch_plus3_terminal_cash_p50_abs,324079.690913,USD,variants.csv,the absolute value of that median difference
delta_por_launch_plus3_peak_funding_p80,-475961.437025,USD,variants.csv,peak_funding_p80 for por_launch_plus3 less peak_funding_p80 for por
delta_por_launch_plus3_peak_funding_p80_abs,475961.437025,USD,variants.csv,the absolute value of that difference
delta_por_launch_plus3_t_stat,16.358726,ratio,variants.csv,the absolute terminal-cash delta for por_launch_plus3 divided by the paired standard error of that delta
delta_por_launch_plus3_sign_agrees_mean_and_median,0.000000,boolean,variants.csv,"1 when the mean delta and the median delta for por_launch_plus3 have the same sign, 0 when they disagree"
delta_por_launch_plus3_terminal_cash_abs,961638.635436,USD,variants.csv,the absolute value of that difference; the direction is in the sign of delta_por_launch_plus3_terminal_cash_mean
delta_por_launch_plus3_total_content_cost_mean,-189912.786227,USD,variants.csv,total_content_cost_mean for por_launch_plus3 less the same for por
delta_por_launch_plus3_total_content_cost_abs,189912.786227,USD,variants.csv,the absolute value of that difference
delta_por_launch_plus6_terminal_cash_mean,-189731.334570,USD,variants.csv,terminal_cash_mean for por_launch_plus6 less terminal_cash_mean for por
delta_por_launch_plus6_terminal_cash_p50,1940394.485526,USD,variants.csv,terminal_cash_p50 for por_launch_plus6 less terminal_cash_p50 for por
delta_por_launch_plus6_terminal_cash_p50_abs,1940394.485526,USD,variants.csv,the absolute value of that median difference
delta_por_launch_plus6_peak_funding_p80,-2967435.565282,USD,variants.csv,peak_funding_p80 for por_launch_plus6 less peak_funding_p80 for por
delta_por_launch_plus6_peak_funding_p80_abs,2967435.565282,USD,variants.csv,the absolute value of that difference
delta_por_launch_plus6_t_stat,1.738536,ratio,variants.csv,the absolute terminal-cash delta for por_launch_plus6 divided by the paired standard error of that delta
delta_por_launch_plus6_sign_agrees_mean_and_median,0.000000,boolean,variants.csv,"1 when the mean delta and the median delta for por_launch_plus6 have the same sign, 0 when they disagree"
delta_por_launch_plus6_terminal_cash_abs,189731.334570,USD,variants.csv,the absolute value of that difference; the direction is in the sign of delta_por_launch_plus6_terminal_cash_mean
delta_por_launch_plus6_total_content_cost_mean,-1720690.768191,USD,variants.csv,total_content_cost_mean for por_launch_plus6 less the same for por
delta_por_launch_plus6_total_content_cost_abs,1720690.768191,USD,variants.csv,the absolute value of that difference
scope_ladder_foreign_content_mean,5369727.484446,USD,variants.csv,total_content_cost_mean for por less the same for ukonly: the content built for markets other than the United Kingdom
scope_ladder_frozen_uk_content_mean,1151306.036560,USD,variants.csv,"total_content_cost_mean for gtm_minimum: United Kingdom content frozen at the go-to-market five subjects, one board"
scope_ladder_uk_escalation_mean,7444792.289644,USD,variants.csv,total_content_cost_mean for ukonly less the same for gtm_minimum: what widening the United Kingdom catalogue costs
scope_gtm_over_ukonly_terminal_cash,-6.031608,ratio,variants.csv,the go-to-market minimum's terminal-cash delta divided by the United Kingdom-only scenario's: how much larger the real scope reduction is than the one the document used to read it off
scope_content_freeze_over_market_drop_terminal_cash,-7.184735,ratio,variants.csv,"freezing the content schedule divided by dropping the second and third markets, on terminal cash at the mean"
sobol_peak_funding_requirement_sum_first_order,0.797137,share of variance,sobol.csv,sum of sobol_first_order over every driver for target peak_funding_requirement
sobol_peak_funding_requirement_rank1_driver,items_per_unit,driver name,sobol.csv,driver at rank 1 by sobol_first_order for target peak_funding_requirement
sobol_peak_funding_requirement_rank1_value,0.155921,share of variance,sobol.csv,sobol_first_order at rank 1 for target peak_funding_requirement
sobol_peak_funding_requirement_rank2_driver,cac_anchor_usd,driver name,sobol.csv,driver at rank 2 by sobol_first_order for target peak_funding_requirement
sobol_peak_funding_requirement_rank2_value,0.117141,share of variance,sobol.csv,sobol_first_order at rank 2 for target peak_funding_requirement
sobol_peak_funding_requirement_rank3_driver,anchor_u,driver name,sobol.csv,driver at rank 3 by sobol_first_order for target peak_funding_requirement
sobol_peak_funding_requirement_rank3_value,0.111465,share of variance,sobol.csv,sobol_first_order at rank 3 for target peak_funding_requirement
sobol_peak_funding_requirement_rank4_driver,writer_gbp_item,driver name,sobol.csv,driver at rank 4 by sobol_first_order for target peak_funding_requirement
sobol_peak_funding_requirement_rank4_value,0.077998,share of variance,sobol.csv,sobol_first_order at rank 4 for target peak_funding_requirement
sobol_peak_funding_requirement_rank5_driver,minutes_per_item,driver name,sobol.csv,driver at rank 5 by sobol_first_order for target peak_funding_requirement
sobol_peak_funding_requirement_rank5_value,0.075453,share of variance,sobol.csv,sobol_first_order at rank 5 for target peak_funding_requirement
sobol_peak_funding_requirement_rank6_driver,board_reuse,driver name,sobol.csv,driver at rank 6 by sobol_first_order for target peak_funding_requirement
sobol_peak_funding_requirement_rank6_value,0.063322,share of variance,sobol.csv,sobol_first_order at rank 6 for target peak_funding_requirement
sobol_peak_funding_requirement_rank7_driver,examiner_rate_gbp_hr,driver name,sobol.csv,driver at rank 7 by sobol_first_order for target peak_funding_requirement
sobol_peak_funding_requirement_rank7_value,0.041017,share of variance,sobol.csv,sobol_first_order at rank 7 for target peak_funding_requirement
sobol_peak_funding_requirement_rank8_driver,eng_usd_yr,driver name,sobol.csv,driver at rank 8 by sobol_first_order for target peak_funding_requirement
sobol_peak_funding_requirement_rank8_value,0.028607,share of variance,sobol.csv,sobol_first_order at rank 8 for target peak_funding_requirement
sobol_reaches_profitability_sum_first_order,0.527553,share of variance,sobol.csv,sum of sobol_first_order over every driver for target reaches_profitability
sobol_reaches_profitability_rank1_driver,cac_anchor_usd,driver name,sobol.csv,driver at rank 1 by sobol_first_order for target reaches_profitability
sobol_reaches_profitability_rank1_value,0.216209,share of variance,sobol.csv,sobol_first_order at rank 1 for target reaches_profitability
sobol_reaches_profitability_rank2_driver,anchor_u,driver name,sobol.csv,driver at rank 2 by sobol_first_order for target reaches_profitability
sobol_reaches_profitability_rank2_value,0.169101,share of variance,sobol.csv,sobol_first_order at rank 2 for target reaches_profitability
sobol_reaches_profitability_rank3_driver,cac_ref_spend_usd,driver name,sobol.csv,driver at rank 3 by sobol_first_order for target reaches_profitability
sobol_reaches_profitability_rank3_value,0.047562,share of variance,sobol.csv,sobol_first_order at rank 3 for target reaches_profitability
sobol_reaches_profitability_rank4_driver,churn_base,driver name,sobol.csv,driver at rank 4 by sobol_first_order for target reaches_profitability
sobol_reaches_profitability_rank4_value,0.018620,share of variance,sobol.csv,sobol_first_order at rank 4 for target reaches_profitability
sobol_reaches_profitability_rank5_driver,sat_kappa,driver name,sobol.csv,driver at rank 5 by sobol_first_order for target reaches_profitability
sobol_reaches_profitability_rank5_value,0.016592,share of variance,sobol.csv,sobol_first_order at rank 5 for target reaches_profitability
sobol_reaches_profitability_rank6_driver,price_uk_tut_gbp,driver name,sobol.csv,driver at rank 6 by sobol_first_order for target reaches_profitability
sobol_reaches_profitability_rank6_value,0.010480,share of variance,sobol.csv,sobol_first_order at rank 6 for target reaches_profitability
sobol_reaches_profitability_rank7_driver,sessions_per_hh_month,driver name,sobol.csv,driver at rank 7 by sobol_first_order for target reaches_profitability
sobol_reaches_profitability_rank7_value,0.003677,share of variance,sobol.csv,sobol_first_order at rank 7 for target reaches_profitability
sobol_reaches_profitability_rank8_driver,cac_rel_us,driver name,sobol.csv,driver at rank 8 by sobol_first_order for target reaches_profitability
sobol_reaches_profitability_rank8_value,0.003629,share of variance,sobol.csv,sobol_first_order at rank 8 for target reaches_profitability
sobol_terminal_cash_sum_first_order,0.175143,share of variance,sobol.csv,sum of sobol_first_order over every driver for target terminal_cash
sobol_terminal_cash_rank1_driver,cac_anchor_usd,driver name,sobol.csv,driver at rank 1 by sobol_first_order for target terminal_cash
sobol_terminal_cash_rank1_value,0.056983,share of variance,sobol.csv,sobol_first_order at rank 1 for target terminal_cash
sobol_terminal_cash_rank2_driver,anchor_u,driver name,sobol.csv,driver at rank 2 by sobol_first_order for target terminal_cash
sobol_terminal_cash_rank2_value,0.030235,share of variance,sobol.csv,sobol_first_order at rank 2 for target terminal_cash
sobol_terminal_cash_rank3_driver,sat_kappa,driver name,sobol.csv,driver at rank 3 by sobol_first_order for target terminal_cash
sobol_terminal_cash_rank3_value,0.029124,share of variance,sobol.csv,sobol_first_order at rank 3 for target terminal_cash
sobol_terminal_cash_rank4_driver,price_uk_tut_gbp,driver name,sobol.csv,driver at rank 4 by sobol_first_order for target terminal_cash
sobol_terminal_cash_rank4_value,0.007463,share of variance,sobol.csv,sobol_first_order at rank 4 for target terminal_cash
sobol_terminal_cash_rank5_driver,churn_base,driver name,sobol.csv,driver at rank 5 by sobol_first_order for target terminal_cash
sobol_terminal_cash_rank5_value,0.007327,share of variance,sobol.csv,sobol_first_order at rank 5 for target terminal_cash
sobol_terminal_cash_rank6_driver,pool_uk,driver name,sobol.csv,driver at rank 6 by sobol_first_order for target terminal_cash
sobol_terminal_cash_rank6_value,0.006662,share of variance,sobol.csv,sobol_first_order at rank 6 for target terminal_cash
sobol_terminal_cash_rank7_driver,cac_ref_spend_usd,driver name,sobol.csv,driver at rank 7 by sobol_first_order for target terminal_cash
sobol_terminal_cash_rank7_value,0.006535,share of variance,sobol.csv,sobol_first_order at rank 7 for target terminal_cash
sobol_terminal_cash_rank8_driver,acq_pct_of_rev,driver name,sobol.csv,driver at rank 8 by sobol_first_order for target terminal_cash
sobol_terminal_cash_rank8_value,0.003364,share of variance,sobol.csv,sobol_first_order at rank 8 for target terminal_cash
sobol_terminal_cash_rank_sum_first_order,0.768417,share of variance,sobol.csv,sum of sobol_first_order over every driver for target terminal_cash_rank
sobol_terminal_cash_rank_rank1_driver,items_per_unit,driver name,sobol.csv,driver at rank 1 by sobol_first_order for target terminal_cash_rank
sobol_terminal_cash_rank_rank1_value,0.143861,share of variance,sobol.csv,sobol_first_order at rank 1 for target terminal_cash_rank
sobol_terminal_cash_rank_rank2_driver,cac_anchor_usd,driver name,sobol.csv,driver at rank 2 by sobol_first_order for target terminal_cash_rank
sobol_terminal_cash_rank_rank2_value,0.121653,share of variance,sobol.csv,sobol_first_order at rank 2 for target terminal_cash_rank
sobol_terminal_cash_rank_rank3_driver,anchor_u,driver name,sobol.csv,driver at rank 3 by sobol_first_order for target terminal_cash_rank
sobol_terminal_cash_rank_rank3_value,0.114245,share of variance,sobol.csv,sobol_first_order at rank 3 for target terminal_cash_rank
sobol_terminal_cash_rank_rank4_driver,writer_gbp_item,driver name,sobol.csv,driver at rank 4 by sobol_first_order for target terminal_cash_rank
sobol_terminal_cash_rank_rank4_value,0.072230,share of variance,sobol.csv,sobol_first_order at rank 4 for target terminal_cash_rank
sobol_terminal_cash_rank_rank5_driver,minutes_per_item,driver name,sobol.csv,driver at rank 5 by sobol_first_order for target terminal_cash_rank
sobol_terminal_cash_rank_rank5_value,0.067384,share of variance,sobol.csv,sobol_first_order at rank 5 for target terminal_cash_rank
sobol_terminal_cash_rank_rank6_driver,board_reuse,driver name,sobol.csv,driver at rank 6 by sobol_first_order for target terminal_cash_rank
sobol_terminal_cash_rank_rank6_value,0.054783,share of variance,sobol.csv,sobol_first_order at rank 6 for target terminal_cash_rank
sobol_terminal_cash_rank_rank7_driver,examiner_rate_gbp_hr,driver name,sobol.csv,driver at rank 7 by sobol_first_order for target terminal_cash_rank
sobol_terminal_cash_rank_rank7_value,0.034900,share of variance,sobol.csv,sobol_first_order at rank 7 for target terminal_cash_rank
sobol_terminal_cash_rank_rank8_driver,eng_usd_yr,driver name,sobol.csv,driver at rank 8 by sobol_first_order for target terminal_cash_rank
sobol_terminal_cash_rank_rank8_value,0.030626,share of variance,sobol.csv,sobol_first_order at rank 8 for target terminal_cash_rank
registry_content_driver_count,8,count,sobol.csv,how many registry entries the content-driver set contains
registry_acq_driver_count,12,count,sobol.csv,how many registry entries the acquisition-driver set contains
registry_cost_per_item_driver_count,3,count,sobol.csv,"how many registry entries make up cost per item, which one timed pilot measures at once"
sobol_peak_funding_requirement_content_drivers_in_top7,5,count,sobol.csv,how many of the top seven drivers by first-order index for peak_funding_requirement are content-cost drivers
sobol_peak_funding_requirement_acq_drivers_in_top3,1,count,sobol.csv,how many of the top three drivers for peak_funding_requirement are acquisition drivers
sobol_peak_funding_requirement_content_drivers_in_top3,1,count,sobol.csv,how many of the top three drivers for peak_funding_requirement are content-cost drivers
sobol_peak_funding_requirement_rank_of_items_per_unit,1,rank,sobol.csv,the rank of items_per_unit by first-order index for target peak_funding_requirement
sobol_peak_funding_requirement_value_of_items_per_unit,0.155921,share of variance,sobol.csv,"the first-order index of items_per_unit for target peak_funding_requirement, by name rather than by rank, so a figure quoted beside a grouped index is the same driver whatever its rank turns out to be"
sobol_peak_funding_requirement_rank_of_cac_anchor_usd,2,rank,sobol.csv,the rank of cac_anchor_usd by first-order index for target peak_funding_requirement
sobol_peak_funding_requirement_value_of_cac_anchor_usd,0.117141,share of variance,sobol.csv,"the first-order index of cac_anchor_usd for target peak_funding_requirement, by name rather than by rank, so a figure quoted beside a grouped index is the same driver whatever its rank turns out to be"
sobol_peak_funding_requirement_rank_of_anchor_u,3,rank,sobol.csv,the rank of anchor_u by first-order index for target peak_funding_requirement
sobol_peak_funding_requirement_value_of_anchor_u,0.111465,share of variance,sobol.csv,"the first-order index of anchor_u for target peak_funding_requirement, by name rather than by rank, so a figure quoted beside a grouped index is the same driver whatever its rank turns out to be"
sobol_peak_funding_requirement_rank_of_writer_gbp_item,4,rank,sobol.csv,the rank of writer_gbp_item by first-order index for target peak_funding_requirement
sobol_peak_funding_requirement_value_of_writer_gbp_item,0.077998,share of variance,sobol.csv,"the first-order index of writer_gbp_item for target peak_funding_requirement, by name rather than by rank, so a figure quoted beside a grouped index is the same driver whatever its rank turns out to be"
sobol_peak_funding_requirement_rank_of_minutes_per_item,5,rank,sobol.csv,the rank of minutes_per_item by first-order index for target peak_funding_requirement
sobol_peak_funding_requirement_value_of_minutes_per_item,0.075453,share of variance,sobol.csv,"the first-order index of minutes_per_item for target peak_funding_requirement, by name rather than by rank, so a figure quoted beside a grouped index is the same driver whatever its rank turns out to be"
sobol_peak_funding_requirement_rank_of_board_reuse,6,rank,sobol.csv,the rank of board_reuse by first-order index for target peak_funding_requirement
sobol_peak_funding_requirement_value_of_board_reuse,0.063322,share of variance,sobol.csv,"the first-order index of board_reuse for target peak_funding_requirement, by name rather than by rank, so a figure quoted beside a grouped index is the same driver whatever its rank turns out to be"
sobol_peak_funding_requirement_rank_of_examiner_rate_gbp_hr,7,rank,sobol.csv,the rank of examiner_rate_gbp_hr by first-order index for target peak_funding_requirement
sobol_peak_funding_requirement_value_of_examiner_rate_gbp_hr,0.041017,share of variance,sobol.csv,"the first-order index of examiner_rate_gbp_hr for target peak_funding_requirement, by name rather than by rank, so a figure quoted beside a grouped index is the same driver whatever its rank turns out to be"
sobol_peak_funding_requirement_rank_of_eng_usd_yr,8,rank,sobol.csv,the rank of eng_usd_yr by first-order index for target peak_funding_requirement
